symbol,exchange,organ_name,en_organ_name
OPC,HOSE,CTCP Dược phẩm OPC,OPC Pharmaceutical Joint Stock Company
PAP,UPCOM,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An,Petro Vietnam Phuoc An Port Investment  & Operation Joint Stock Company
PAT,UPCOM,CTCP Phốt Pho Apatit Việt Nam,Viet Nam Apatite - Phosphorus Joint Stock Company
PBC,UPCOM,CTCP Dược phẩm Trung ương I - Pharbaco,Pharbaco Central Pharmaceutical Joint Stock Company No1
PBP,HNX,CTCP Bao bì Dầu khí Việt Nam,PetroVietnam Packaging Joint Stock Company
PCH,HNX,CTCP Picomat Holding,Picomat Holding Joint Stock Company
PCT,HNX,CTCP Vận tải biển Global Pacific,Global Pacific Shipping Joint Stock Company
PDN,HOSE,CTCP Cảng Đồng Nai,Dong Nai Port Joint Stock Company
PDV,HOSE,CTCP Vận Tải Và Tiếp Vận Phương Đông Việt,Phuong Dong Viet Shipping And Logistics Corporation
PEG,UPCOM,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP,Petec Trading and Investment Corporation
PFL,UPCOM,CTCP Dầu khí Đông Đô,Petroleum Dong Do Joint Stock Company
PGB,UPCOM,Ngân hàng TMCP Thịnh vượng và Phát triển,Prosperity and Growth Commercial Joint Stock Bank
PGC,HOSE,Tổng Công ty Gas Petrolimex - CTCP,Petrolimex Gas Corporation - Joint Stock Company
PGD,HOSE,CTCP Phân phối khí thấp áp Dầu khí Việt Nam,PetroVietNam Low Pressure Gas Distribution Joint Stock Company
PGI,HOSE,Tổng Công ty cổ phần Bảo hiểm Petrolimex,Petrolimex Insurance Corporation
PGN,HNX,CTCP Phụ Gia Nhựa,Plastic Additives Joint Stock Company
PGS,HNX,CTCP Kinh doanh Khí Miền Nam,Southern Gas Trading Joint Stock Company
PGV,HOSE,Tổng Công ty Phát điện 3 - CTCP,Power Generation Joint Stock Corporation 3
PHC,HOSE,CTCP Xây dựng Phục Hưng Holdings,Phuc Hung Holdings Construction Joint Stock Company
PHS,UPCOM,CTCP Chứng khoán Phú Hưng,Phu Hung Securities Corporation
PIC,HNX,CTCP Đầu tư Điện lực 3,PC3 - Investment Joint Stock Company 
PIS,UPCOM,Tổng Công ty Pisico Bình Định - CTCP,PISICO Binh Dinh Corporation Joint Stock Company
PJT,HOSE,CTCP Vận tải Xăng dầu Đường Thủy Petrolimex,Petrolimex Joint Stock Tanker Company
PLP,HOSE,CTCP Sản xuất và Công nghệ Nhựa Pha Lê,Pha Le Plastics Manufacturing and Technology Joint Stock Company
PMG,HOSE,CTCP Đầu tư và Sản xuất Petro Miền Trung,Petro Center Corporation
PMW,UPCOM,CTCP Cấp nước Phú Mỹ,Phu My Water Supply Joint Stock Company
POM,UPCOM,CTCP Thép Pomina,Pomina Steel Corporation
POS,UPCOM,CTCP Vận hành và Xây lắp PTSC,PTSC Offshore Services Joint Stock Company
PPH,UPCOM,Tổng Công ty cổ phần Phong Phú,Phong Phu Corporation
PRE,HNX,Tổng Công ty cổ phần Tái bảo hiểm Hà Nội,Hanoi Reinsurance Joint Stock Corporation
PRT,UPCOM,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,Binh Duong Producing and Trading Corporation
PSB,UPCOM,CTCP Cảng Kỹ thuật PTSC Sao Mai,PTSC Sao Mai Technical Port Joint Stock Company
PSD,HNX,CTCP Dịch vụ Phân phối Tổng hợp Dầu khí,Petroleum General Distribution Services Joint Stock Company
PSI,HNX,CTCP Chứng khoán Dầu khí,PetroVietnam Securities Joint Stock Company
PSL,UPCOM,CTCP Chăn nuôi Phú Sơn,Phu Son Livestock Joint Stock Company
PSN,UPCOM,CTCP Dịch Vụ Kỹ Thuật PTSC Thanh Hóa,PTSC Thanh Hoa Technical Services Company
PSP,UPCOM,CTCP Cảng Dịch vụ Dầu khí Đình Vũ,Dinh Vu Petroleum Service Port Joint Stock Company
PTB,HOSE,CTCP Phú Tài,Phu Tai Joint Stock Company
PTC,HOSE,CTCP Đầu Tư Icapital,Icapital Investment Joint Stock Company
PTI,HNX,Tổng Công ty cổ phần Bảo hiểm Bưu điện,Post - Telecommunication Joint - Stock Insurance Corporation
PTL,HOSE,CTCP Victory Group,Victory Group Joint Stock Company
PTM,UPCOM,CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM,"PTM Automobile Service, Trading And Manufacturing Joint Stock Company"
PTV,UPCOM,CTCP Thương mại Dầu khí,Petroleum Trading Joint Stock Company
PV2,HNX,CTCP Genea Capital,Genea Capital Joint Stock Company
PVB,HNX,CTCP Bọc ống Dầu khí Việt Nam,PetroVietnam Coating Joint Stock Company
PVD,HOSE,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,PetroVietnam Drilling & Well Services Corporation
PVE,UPCOM,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,PetroVietnam Engineering Consultancy Joint Stock Company
PVG,HNX,CTCP Kinh doanh LPG Việt Nam,Petro VietNam LPG Joint Stock Company
PVH,UPCOM,CTCP Xây lắp Dầu khí Thanh Hóa,Thanh Hoa Petroleum Construction Joint Stock Company
PVI,HNX,CTCP PVI,PVI Holdings
PVL,UPCOM,CTCP Địa ốc Dầu khí,Petroleum Real Estate Joint Stock Company
PVM,UPCOM,CTCP Máy - Thiết bị Dầu khí,PetroVietnam Machinery-Technology Joint Stock Company
PVR,UPCOM,CTCP Đầu tư PVR Hà Nội,Ha Noi PVR Investment Joint Stock Company
PVV,UPCOM,CTCP Vinaconex 39,Vinaconex 39 Joint Stock Company
PVX,UPCOM,Tổng Công ty cổ phần Xây lắp Dầu khí Việt Nam,Petro Vietnam Construction Joint Stock Corporation
PVY,UPCOM,CTCP Chế tạo Giàn khoan Dầu khí,PetroVietnam Marine Shipyard Joint Stock Company
PWS,UPCOM,CTCP Cấp thoát nước Phú Yên,Phu Yen Water Supply And Sewerage Joint Stock Company
PXI,UPCOM,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí,Petroleum Industrial and Civil Construction Joint Stock Company
PXL,UPCOM,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn,Long Son Petroleum Industrial Zone Investment Joint Stock Company
PXM,UPCOM,CTCP Xây lắp Dầu khí Miền Trung,Mien Trung Petroleum Construction Joint Stock Company
PXS,UPCOM,CTCP Kết cấu Kim loại và Lắp máy Dầu khí,Petroleum Equipment Assembly and Metal Structure Joint Stock Company
QBS,UPCOM,CTCP Xuất nhập khẩu Quảng Bình,Quang Binh Import and Export Joint Stock Company
QNC,UPCOM,CTCP Xi măng và Xây dựng Quảng Ninh,Quang Ninh Construction and Cement Joint Stock Company
QNP,HOSE,CTCP Cảng Quy Nhơn,Quy Nhon Port Joint Stock Company
QNS,UPCOM,CTCP Đường Quảng Ngãi,Quang Ngai Sugar Joint Stock Company
RAL,HOSE,CTCP Bóng đèn Phích nước Rạng Đông,Rang Dong Light Source and Vacuum Flask Joint Stock Company
RCC,UPCOM,CTCP Tổng Công ty Công trình Đường sắt Việt Nam,Vietnam Railway Construction Corporation Joint Stock Company
RCL,HNX,CTCP Địa ốc Chợ Lớn,Cho Lon Real Estate Joint Stock Company
RIC,UPCOM,CTCP Quốc tế Hoàng Gia,Royal International Joint Stock Corporation
RTB,UPCOM,CTCP Cao su Tân Biên,Tan Bien Rubber Joint Stock Company
RYG,HOSE,CTCP Sản xuất và Đầu tư Hoàng Gia,Royal Manufacture and Investment Joint Stock Company
S4A,HOSE,CTCP Thủy điện Sê San 4A,Se San 4A HydroPower Joint Stock Company
S99,HNX,CTCP SCI,SCI Joint Stock Company
SAM,HOSE,CTCP SAM Holdings,SAM Holdings Corporation
SAS,UPCOM,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Southern Airports Services Joint Stock Company
SAV,HOSE,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Savimex Corporation
SBA,HOSE,CTCP Sông Ba,Song Ba Joint Stock Company
SBB,UPCOM,CTCP Tập đoàn Bia Sài Gòn - Bình Tây,SaiGon Binh Tay Beer Group Joint Stock Company
SBG,HOSE,CTCP Tập đoàn Cơ khí Công nghệ cao Siba,Siba High-Tech Mechanical Group Joint Stock Company
SBH,UPCOM,CTCP Thủy điện Sông Ba Hạ,Song Ba Ha Hydro Power Joint Stock Company
SBM,UPCOM,CTCP Đầu tư Phát triển Bắc Minh,Bac Minh Development Investment Joint Stock Company
SBR,UPCOM,CTCP Cao su Sông Bé,Song Be Rubber Joint Stock Company
SBV,HOSE,CTCP Siam Brothers Việt Nam,Siam Brothers Vietnam Joint Stock Company
SCG,HNX,CTCP Tập đoàn Xây dựng SCG,SCG Construction Group Joint Stock Company
SCI,HNX,CTCP SCI E&C,SCI E&C Joint Stock Company
SCJ,UPCOM,CTCP Xi măng Sài Sơn,Sai Son Cement Joint Stock Company
SD5,HNX,CTCP Sông Đà 5,Song Da No5 Joint-Stock Company
SD6,UPCOM,CTCP Sông Đà 6,Song Da 6 Joint Stock Company
SD9,HNX,CTCP Sông Đà 9,Song Da No 9 Joint Stock Company
SDA,UPCOM,CTCP Simco Sông Đà,SIMCO Song Da Joint Stock Company
SDK,UPCOM,CTCP Cơ khí Luyện kim,Mechanical Engineering & Metallurgy Joint-Stock Company
SDT,UPCOM,CTCP Sông Đà 10,Song Da No 10 Joint Stock Company
SEA,UPCOM,Tổng Công ty Thủy sản Việt Nam - CTCP,Vietnam Seaproducts Joint Stock Corporation
SEB,HNX,CTCP Đầu tư và Phát triển Điện Miền Trung,Mien Trung Power Investment and Development Joint Stock Company
SFG,HOSE,CTCP Phân Bón Miền Nam,The Southern Fertilizer Joint Stock Company
SFI,HOSE,CTCP Đại lý Vận tải SAFI,Sea & Air Freight International
SGB,UPCOM,Ngân hàng TMCP Sài Gòn Công Thương,Saigon Bank For Industry and Trade
SGI,UPCOM,CTCP Đầu tư SGI Holdings,SGI Holdings Investment Joint Stock Company
SGN,HOSE,CTCP Phục vụ Mặt đất Sài Gòn,Saigon Ground Services Joint Stock Company
SGP,UPCOM,CTCP Cảng Sài Gòn,Saigon Port Joint Stock Company
SGR,HOSE,CTCP Tổng CTCP Địa ốc Sài Gòn,Saigon Real Estate Group Joint Stock Company
SGT,HOSE,CTCP Công nghệ Viễn Thông Sài Gòn,SaiGon Telecommunication & Technologies Corporation
SHA,HOSE,CTCP Sơn Hà Sài Gòn,Son Ha Sai Gon Joint Stock Company
SHP,HOSE,CTCP Thủy điện Miền Nam,Southern Hydropower Joint Stock Company
SID,UPCOM,CTCP Đầu tư Phát triển Sài Gòn Co.op,Saigon Co.op Investment Development Joint Stock Company
SII,UPCOM,CTCP Hạ tầng Nước Sài Gòn,Sai Gon Water Infrastructure Corporation
SIP,HOSE,CTCP Đầu tư Sài Gòn VRG,Sai Gon VRG Investment Corporation
SIV,UPCOM,CTCP SIVICO,SIVICO Joint Stock Company
SJ1,HNX,CTCP Nông nghiệp Hùng Hậu,Hung Hau Agricultural Corporation
SJD,HOSE,CTCP Thủy điện Cần Đơn,Candon HydroPower Joint Stock Company
SJE,HNX,CTCP Sông Đà 11,Song Da No 11 Joint Stock Company
SJG,UPCOM,Tổng Công ty Sông Đà - CTCP,Song Da Corporation - JSC
SJS,HOSE,CTCP SJ Group,SJ Group Joint Stock Company
SKG,HOSE,CTCP Tàu cao tốc Superdong - Kiên Giang,Superdong Fast Ferry Kieng Giang Joint Stock Company
SKH,UPCOM,CTCP Nước giải khát Sanest Khánh Hòa,Khanh Hoa Sanest Soft Drink Joint Stock Company
SKV,UPCOM,CTCP Nước giải khát Yến sào Khánh Hòa,Khanh Hoa Salanganes Nest Soft Drink Joint Stock Company
SLS,HNX,CTCP Mía Đường Sơn La,Son La Sugar Joint Stock Company
SMB,HOSE,CTCP Bia Sài Gòn - Miền Trung,Sai Gon - Mien Trung Beer Joint Stock Company
SMC,HOSE,CTCP Đầu tư Thương mại SMC,SMC Trading Investment Joint Stock Company
SNZ,UPCOM,Tổng Công ty cổ phần Phát triển Khu Công nghiệp,Sonadezi Corporation
SP2,UPCOM,CTCP Thủy điện Sử Pán 2,Su Pan 2 Hydroprwer Joint Stock Company
SRA,HNX,CTCP Sara Việt Nam,Sara Vietnam Joint Stock Company
SRC,HOSE,CTCP Cao su Sao Vàng,Sao Vang Rubber Joint Stock Company
SRF,HOSE,CTCP SEAREFICO,Searefico Corporation
SSB,HOSE,Ngân hàng TMCP Đông Nam Á,Southeast Asia Commercial Joint Stock Bank
SSH,UPCOM,CTCP Phát triển Sunshine Homes,Sunshine Homes Development Joint Stock Company
ST8,HOSE,CTCP Tập đoàn ST8,ST8 Holdings Joint Stock Company
STG,HOSE,CTCP Kho vận Miền Nam,South Logistics Joint Stock Company
STK,HOSE,CTCP Sợi Thế Kỷ,Century Synthetic Fiber Corporation
SVC,HOSE,CTCP Dịch vụ Tổng hợp Sài Gòn,Saigon General Service Corporation
SVD,HOSE,CTCP Đầu tư & Thương mại Vũ Đăng,Vu Dang Investment & Trading Joint Stock Company
SVG,UPCOM,CTCP Hơi Kỹ nghệ Que hàn,Industrial Gas and Welding Electrode Joint Stock Company
SWC,UPCOM,Tổng Công ty cổ phần Đường sông Miền Nam,Southern Waterborne Transport Corporation
SZB,HNX,CTCP Sonadezi Long Bình,Sonadezi Long Binh Share Holding Company
SZE,UPCOM,CTCP Môi trường Sonadezi,Sonadezi Environment Joint Stock Company
SZG,UPCOM,CTCP Sonadezi Giang Điền,Sonadezi Giang Dien Shareholding Company
SZL,HOSE,CTCP Sonadezi Long Thành,Sonadezi Long Thanh Shareholding Company
TA9,HNX,CTCP Xây lắp Thành An 96,Thanh An 96 Installation and Construction Joint Stock Company
TAR,UPCOM,CTCP Nông nghiệp Công nghệ cao Trung An,Trung An Hi-Tech Farming Joint Stock Company
TBC,HOSE,CTCP Thủy điện Thác Bà,Thac Ba Hydro Power Joint Stock Company
TBD,UPCOM,Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Dong Anh Electrical Equipment Corporation - Joint Stock Company
TCD,UPCOM,CTCP Tập đoàn Xây dựng TRACODI,TRACODI Construction Holdings Joint Stock Company
TCI,HOSE,CTCP Chứng khoán Thành Công,ThanhCong Securities Company
TCL,HOSE,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Tan Cang Logistics and Stevedoring Joint Stock Company
TCO,HOSE,CTCP Janus Group,Janus Group Joint Stock Company
TCT,HOSE,CTCP Cáp treo Núi Bà Tây Ninh,Tay Ninh Cable Car Tour Company
TCW,UPCOM,CTCP Kho Vận Tân Cảng,Tan Cang Warehousing Joint Stock Company
TD6,HNX,CTCP Than Đèo Nai - Cọc Sáu - TKV,Deo Nai - Coc Sau - TKV Coal Joint Stock Company
TDB,UPCOM,CTCP Thủy điện Định Bình,Dinh Binh Hydro Power Joint Stock Company
TDF,UPCOM,CTCP Trung Đô,Trung Do Joint Stock Company
TDG,HOSE,CTCP Đầu tư TDG Global,TDG Global Investment Joint Stock Company
TDH,HOSE,CTCP Phát triển Nhà Thủ Đức,Thu Duc Housing Development Corporation
TDM,HOSE,CTCP Nước Thủ Dầu Một,Thu Dau Mot Water Joint Stock Company
TDT,HNX,CTCP Đầu tư và Phát triển TDT,TDT Investment and Development Joint Stock Company
TEG,HOSE,CTCP Trường Thành Energy Group,Truong Thanh Energy Group Joint Stock Company
TGP,UPCOM,CTCP Trường Phú,Truong Phu Corporation
THD,HNX,CTCP Thaiholdings,Thaiholdings Joint Stock Company
THG,HOSE,CTCP Đầu tư và Xây dựng Tiền Giang,Tien Giang Investment and Construction Joint Stock Company
THN,UPCOM,CTCP Cấp nước Thanh Hóa,Thanh Hoa Water Supply Joint Stock Company
THP,UPCOM,CTCP Thủy sản và Thương mại Thuận Phước,Thuan Phuoc Seafoods and Trading Corporation
THT,HNX,CTCP Than Hà Tu - Vinacomin,Vinacomin - Ha Tu Coal Joint Stock Company
TID,UPCOM,CTCP Tổng Công ty Tín Nghĩa,Tin Nghia Corporation
TIN,UPCOM,Công Ty Tài chính tổng hợp cổ phần Tín Việt,VietCredit General Finance Joint Stock Company
TIP,HOSE,CTCP Phát triển Khu Công nghiệp Tín Nghĩa,Tin Nghia Industrial Park Development Joint Stock Company
TIS,UPCOM,CTCP Gang thép Thái Nguyên,Thai Nguyen Iron and Steel Joint Stock Corporation
TIX,HOSE,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,Tan Binh Import - Export Joint Stock Corporation
TLD,HOSE,CTCP Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Thang Long Urban Development and Construction Investment Joint Stock Company
TLG,HOSE,CTCP Tập đoàn Thiên Long,Thien Long Group Corporation
TLH,HOSE,CTCP Tập đoàn Thép Tiến Lên,Tien Len Steel Corporation Joint - Stock Company
TLP,UPCOM,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP,Thanh Le Corporation
TMP,HOSE,CTCP Thủy điện Thác Mơ,Thac Mo Hydropower Joint Stock Company
TMS,HOSE,CTCP Transimex,Transimex Corporation
TMT,HOSE,CTCP Ô tô TMT,TMT Motors Corporation
TN1,HOSE,CTCP Rox Key Holdings,Rox Key Holdings Joint Stock Company
TNH,HOSE,CTCP Tập đoàn Bệnh viện TNH,TNH Hospital Group Joint Stock Company
TNS,UPCOM,CTCP Thép tấm lá Thống Nhất,Thong Nhat Flat Steel Joint Stock Company
TNT,HOSE,CTCP Tập đoàn TNT,TNT Group Joint Stock Company
TPC,HOSE,CTCP Nhựa Tân Đại Hưng,Tan Dai Hung Plastic Joint Stock Company
TPP,HNX,CTCP Tân Phú Việt Nam,Tan Phu Viet Nam Joint Stock Company
TRA,HOSE,CTCP Traphaco,Traphaco Joint Stock Company
TRC,HOSE,CTCP Cao su Tây Ninh,Tay Ninh Rubber Joint Stock Company 
TRV,UPCOM,CTCP Vận tải Đường sắt,Railway Transport Joint Stock Company
TS3,UPCOM,CTCP Trường Sơn 532,Truong Son 532 Joint Stock Company
TSA,HOSE,CTCP Đầu tư và Xây lắp Trường Sơn,Truong Son Investment And Construction Joint Stock Company
TSB,HNX,CTCP Ắc quy Tia Sáng,Tia Sang Battery Joint Stock Company
TSC,HOSE,CTCP Vật tư Kỹ thuật nông nghiệp Cần Thơ,Techno - Agricultural Supplying Joint Stock Company
TSJ,UPCOM,CTCP Du lịch Dịch vụ Hà Nội,HaNoi Tourist Service Joint Stock Company
TTA,HOSE,CTCP Đầu tư Xây dựng và Phát triển Trường Thành,Truong Thanh Development and Construction Investment Joint Stock Company
TTH,HNX,CTCP Thương mại và Dịch vụ Tiến Thành,Tien Thanh Service and Trading Joint Stock Company
TTL,HNX,Tổng Công ty Thăng Long - CTCP,Thang Long Joint Stock Corporation
TTN,UPCOM,CTCP Công nghệ và Truyền thông Việt Nam,Viet Nam Technology and Telecommunication Joint Stock Company
TTS,UPCOM,CTCP Cán Thép Thái Trung,Thai Trung Rooling Joint Stock Company
TV1,UPCOM,CTCP Tư vấn Xây dựng Điện 1,Power Engineering Consulting Joint Stock Company 1
TVB,HOSE,CTCP Chứng khoán T-Cap,T-Cap Securities Joint Stock Company
TVC,HNX,CTCP Tập đoàn Quản lý tài sản T-Corp,T-Corp Asset Management Corporation Joint Stock Company
TVD,HNX,CTCP Than Vàng Danh - Vinacomin,Vinacomin - Vang Danh Coal Joint Stock Company
TVS,HOSE,CTCP Chứng khoán Thiên Việt,Thien Viet Securities Joint Stock Company
TVT,HOSE,Tổng Công ty Việt Thắng - CTCP,Viet Thang Corporation
TXM,HNX,CTCP VICEM Thạch cao Xi măng,VICEM Gypsum And Cement Joint Stock Company
UDC,UPCOM,CTCP Đầu tư Xây dựng UDCons,UDCons Construction Investment Corporation
ULG,UPCOM,CTCP Logistics U&I,U&I Logistics Corporation
UNI,HNX,CTCP Đầu Tư Và Phát Triển Sao Mai Việt,Sao Mai Viet Investment And Development Joint Stock Company
VAF,UPCOM,CTCP Phân lân Nung chảy Văn Điển,Van Dien Fused Magnesium Phosphate Fertilizer Joint Stock Company
VAV,UPCOM,CTCP VIWACO,VIWACO Joint Stock Company
VBB,HOSE,Ngân hàng TMCP Việt Nam Thương Tín,Vietnam Thuong Tin Commercial Joint Stock Bank
VC2,HNX,CTCP Đầu tư và Xây dựng Vina2,VINA2 Investment and Construction Joint Stock Company
VCC,HNX,CTCP Vinaconex 25,Vinaconex 25 Joint Stock Company
VCF,HOSE,CTCP Vinacafé Biên Hòa,Vinacafé Bien Hoa Joint Stock Company
VCP,UPCOM,CTCP Xây Dựng Và Năng Lượng VCP,VCP Power & Construction Joint Stock Company
VCR,UPCOM,CTCP Đầu tư và Phát triển Du lịch ITC,ITC Investment and Tourism Development Joint Stock Company
VCS,HNX,CTCP Vicostone,Vicostone Joint Stock Company
VCX,UPCOM,CTCP Xi măng Yên Bình,YenBinh Cement Joint - Stock Company
VDP,HOSE,CTCP Dược phẩm Trung ương VIDIPHA,VIDIPHA Central Pharmaceutical Joint - Stock Company
VE3,HNX,CTCP Xây dựng Điện VNECO 3,VNECO 3 Electricity Construction Joint Stock Company
VEC,UPCOM,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam,Vietnam Electronics and Informatics Joint Stock Corporation
VEF,UPCOM,CTCP Trung tâm Hội chợ Triển lãm Việt Nam,Vietnam Exhibition Fair Centre Joint Stock Company
VFG,HOSE,CTCP Khử trùng Việt Nam,Viet Nam Fumigation Joint Stock Company
VGG,UPCOM,Tổng Công ty cổ phần May Việt Tiến,Viet Tien Garment Corporation
VGR,UPCOM,CTCP Cảng Xanh Vip, Vip Greenport Joint Stock Company 
VGS,HNX,CTCP Ống thép Việt - Đức VG PIPE,Vietnam Germany Steel Pipe Joint Stock Company
VGV,UPCOM,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP,Vietnam National Construction Consultant Corporation - JSC
VHD,UPCOM,CTCP Đầu tư Phát triển Nhà và Đô Thị VINAHUD,VINAHUD Urban and Housing Development Investment Joint Stock Company
VHF,UPCOM,CTCP Xây dựng và Chế biến Lương thực Vĩnh Hà,Vinh Ha Food Processing and Construction Joint Stock Company
VHL,HNX,CTCP Viglacera Hạ Long,Viglacera Ha Long Joint Stock Company
VID,HOSE,CTCP Đầu tư Phát triển Thương mại Viễn Đông,Vien Dong Investment Development Trading Corporation
VIF,HNX,Tổng Công ty Lâm nghiệp Việt Nam - CTCP,Viet Nam Forestry Corporation Joint Stock Company
VIG,HNX,CTCP Chứng khoán Đầu tư tài chính Việt Nam,Viet Nam Financial Investment Securities Corporation
VIM,UPCOM,CTCP Khoáng sản Viglacera,Viglacera Mineral Joint Stock Company
VIN,UPCOM,CTCP Giao nhận Kho vận Ngoại Thương Việt Nam,Vinatrans
VIP,HOSE,CTCP Vận tải Xăng dầu VIPCO,Vietnam Petroleum Transport Joint Stock Company
VIT,HNX,CTCP Viglacera Tiên Sơn,Viglacera Tien Son Joint Stock Company
VLB,UPCOM,CTCP Xây dựng và Sản xuất Vật liệu xây dựng Biên Hòa,Bien Hoa Building Materials Production and Construction Joint Stock Company
VLC,UPCOM,Tổng Công ty Chăn Nuôi Việt Nam - CTCP,Vietnam Livestock Corporation - Joint Stock Company
VLS,UPCOM,CTCP Sản xuất Thép Việt Long,Viet Long Steel Production Joint Stock Company
VLW,UPCOM,CTCP Cấp nước Vĩnh Long,Vinh Long Water Supply Joint Stock Company 
VMC,HNX,CTCP Vimeco,Vimeco Joint Stock Company
VNA,UPCOM,CTCP Vận tải Biển Vinaship,Vinaship Joint Stock Company
VNB,UPCOM,CTCP Sách Việt Nam,Vietnam Books Joint Stock Company
VNC,HNX,CTCP Tập đoàn Vinacontrol,Vinacontrol Group Corporation
VNF,HNX,CTCP Vinafreight,Vinafreight Joint Stock Company
VNG,HOSE,CTCP Du lịch Thành Thành Công,Thanh Thanh Cong Tourist Joint Stock Company
VNR,HNX,Tổng Công ty cổ phần Tái Bảo hiểm Quốc gia Việt Nam,Vietnam National Reinsurance Corporation
VNS,HOSE,CTCP Ánh Dương Việt Nam,Vietnam Sun Corporation
VNZ,UPCOM,CTCP Tập đoàn VNG ,VNG Group Joint Stock Company
VPD,HOSE,CTCP Phát triển Điện lực Việt Nam,Vietnam Power Development Joint Stock Company
VPH,HOSE,CTCP Vạn Phát Hưng,Van Phat Hung Corporation
VPS,HOSE,CTCP Thuốc sát trùng Việt Nam ,Vietnam Pesticide Joint Stock Company
VRC,HOSE,CTCP Bất động sản và Đầu tư VRC,VRC Real Estate and Investment Joint Stock Company
VRG,UPCOM,CTCP Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam,Viet Nam Rubber Industrial Zone and Urban Development Joint Stock Company
VSF,UPCOM,Tổng Công ty Lương thực Miền Nam - CTCP,Vietnam Southern Food Corporation - Joint Stock Company
VSH,HOSE,CTCP Thủy điện Vĩnh Sơn - Sông Hinh,Vinh Son - Song Hinh Hydropower Joint Stock Company
VSN,UPCOM,CTCP Việt Nam Kỹ nghệ Súc sản,Vissan Joint Stock Company
VST,UPCOM,CTCP Vận tải và Thuê tàu biển Việt Nam,Vietnam Sea Transport and Chartering Joint Stock Company
VTD,UPCOM,CTCP Vietourist Holdings,Vietourist Holdings Joint Stock Company
VTK,UPCOM,CTCP Tư Vấn Và Dịch Vụ Viettel,Viettel Consultancy And Services Joint Stock Company
VTR,UPCOM,CTCP Du lịch Vietravel,Vietravel Tourism Joint Stock Company
VUA,UPCOM,CTCP Chứng khoán Stanley Brothers,Stanley Brothers Securities Incorporation
VVN,UPCOM,Tổng Công ty cổ phần Xây dựng Công nghiệp Việt Nam,Vietnam Industrial Construction Corporation
WSS,HNX,CTCP Chứng khoán Phố Wall,Wall Street Securities Company
XDH,UPCOM,CTCP Đầu tư Xây dựng Dân dụng Hà Nội,Hanoi Civil Construction Investment Joint Stock Company
XHC,UPCOM,CTCP Xuân Hòa Việt Nam,Xuan Hoa Viet Nam Joint Stock Company
XMC,UPCOM,CTCP Đầu tư và Xây dựng Xuân Mai,Xuan Mai Investment and Construction Corporation
YBM,HOSE,CTCP YBM,YBM Joint Stock Company
