symbol,exchange,company_name,display_name,en_company_name,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,status,needs_review
BDG,UPCOM,CTCP May mặc Bình Dương,May mặc Bình Dương,Protrade Garment Joint Stock Company,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Dệt may,NORMAL,13,det may,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BDG/ho-so-doanh-nghiep.htm,OK,NO
BDT,UPCOM,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,Xây lắp và Vật liệu Xây dựng Đồng Tháp,Dong Thap Building Materials & Contruction Joint Stock Company,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BDT/ho-so-doanh-nghiep.htm,OK,NO
BGE,UPCOM,CTCP BCG Energy,BCG Energy,BCG Energy Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BGE/ho-so-doanh-nghiep.htm,OK,YES
BHA,UPCOM,CTCP Thủy điện Bắc Hà,Thủy điện Bắc Hà,Bac Ha Hydropower JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BHA/ho-so-doanh-nghiep.htm,OK,YES
BHI,UPCOM,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,Bảo hiểm Sài Gòn - Hà Nội,Sai Gon - Ha Noi Insurance Corporation,Tài chính,Bảo hiểm,Bảo hiểm,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BHI/ho-so-doanh-nghiep.htm,OK,NO
BHN,HOSE,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Bia - Rượu - Nước giải khát Hà Nội,Hanoi Beer Alcohol And Beverage Joint Stock Corporation,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BHN/ho-so-doanh-nghiep.htm,OK,NO
BIC,HOSE,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,BIDV Insurance Corporation,Tài chính,Bảo hiểm,Bảo hiểm,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BIC/ho-so-doanh-nghiep.htm,OK,NO
BII,UPCOM,CTCP Louis Land,Louis Land,Louis Land JSC,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BII/ho-so-doanh-nghiep.htm,OK,YES
BKC,HNX,CTCP Khoáng sản Bắc Kạn,Khoáng sản Bắc Kạn,Bac Kan Mineral Joint Stock Corporation,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Nguyên vật liệu,Khai khoáng và luyện kim,,Kim loại & Khoáng sản,NORMAL,32,khai khoang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BKC/ho-so-doanh-nghiep.htm,OK,NO
BLI,UPCOM,Tổng Công ty cổ phần Bảo hiểm Bảo Long,Bảo hiểm Bảo Long,Bao Long Insurance Corporation,Tài chính,Bảo hiểm,Bảo hiểm,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BLI/ho-so-doanh-nghiep.htm,OK,NO
BMI,HOSE,Tổng Công ty cổ phần Bảo Minh,Bảo Minh,Bao Minh Insurance Corporation,Tài chính,Bảo hiểm,Bảo hiểm,Tài chính,Bảo hiểm,,Bảo hiểm,INSURANCE,3,bao hiem,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BMI/ho-so-doanh-nghiep.htm,OK,NO
BMJ,UPCOM,CTCP Khoáng sản Miền Đông AHP,Khoáng sản Miền Đông AHP,Easterns AHP Minerals Joint Stock Company,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BMJ/ho-so-doanh-nghiep.htm,OK,NO
BMP,HOSE,CTCP Nhựa Bình Minh,Nhựa Bình Minh,Binh Minh Plastics Joint Stock Company,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BMP/ho-so-doanh-nghiep.htm,OK,NO
BMV,UPCOM,CTCP Bột mỳ Vinafood 1,Bột mỳ Vinafood 1,Vinafood 1 Flour Joint Stock Company,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BMV/ho-so-doanh-nghiep.htm,OK,NO
BNA,HNX,CTCP Tập đoàn Đầu tư Bảo Ngọc,Đầu tư Bảo Ngọc,Bao Ngoc Investment Group Joint Stock Company,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BNA/ho-so-doanh-nghiep.htm,OK,NO
BNW,UPCOM,CTCP Nước sạch Bắc Ninh,Nước sạch Bắc Ninh,Bac Ninh Clean Water Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BNW/ho-so-doanh-nghiep.htm,OK,YES
BOT,UPCOM,CTCP BOT Cầu Thái Hà,BOT Cầu Thái Hà,Thai Ha Bridge BOT Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BOT/ho-so-doanh-nghiep.htm,OK,YES
BRR,UPCOM,CTCP Cao su Bà Rịa,Cao su Bà Rịa,BaRia Rubber Joint Stock Company,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BRR/ho-so-doanh-nghiep.htm,OK,NO
BSA,UPCOM,CTCP Thủy điện Buôn Đôn,Thủy điện Buôn Đôn,Buon Don Hydropower JSC,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BSA/ho-so-doanh-nghiep.htm,OK,YES
BSG,UPCOM,CTCP Xe khách Sài Gòn,Xe khách Sài Gòn,Saigon Passenger Transport JSC,Công nghiệp,Vận tải,Vận tải mặt đất,Công nghiệp,Vận tải,Vận tải mặt đất,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BSG/ho-so-doanh-nghiep.htm,OK,YES
BSL,UPCOM,CTCP Bia Sài Gòn - Sông Lam,Bia Sài Gòn - Sông Lam,SaiGon-SongLam Beer Joint Stock Company,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BSL/ho-so-doanh-nghiep.htm,OK,NO
BSQ,UPCOM,CTCP Bia Sài Gòn - Quảng Ngãi,Bia Sài Gòn - Quảng Ngãi,Sai Gon - Quang Ngai Beer JSC,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BSQ/ho-so-doanh-nghiep.htm,OK,NO
BT6,UPCOM,CTCP Beton 6,Beton 6,Beton 6 Corporation,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BT6/ho-so-doanh-nghiep.htm,OK,NO
BTH,UPCOM,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,Chế tạo Biến thế và Vật liệu Điện Hà Nội,Ha Noi Transformer Manufacturing And Electric Material Joint Stock Company,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BTH/ho-so-doanh-nghiep.htm,OK,YES
BTP,HOSE,CTCP Nhiệt điện Bà Rịa,Nhiệt điện Bà Rịa,BaRia Thermal Power Joint Stock Company,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BTP/ho-so-doanh-nghiep.htm,OK,YES
BTS,HNX,CTCP Xi măng VICEM Bút Sơn,Xi măng VICEM Bút Sơn,Vicem But Son Cement Joint Stock Company,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BTS/ho-so-doanh-nghiep.htm,OK,NO
BTV,UPCOM,CTCP Dịch vụ Du lịch Bến Thành,Dịch vụ Du lịch Bến Thành,BenThanh Tourist Service Corporation,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Du lịch & Giải trí,NORMAL,27,giai tri,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BTV/ho-so-doanh-nghiep.htm,OK,NO
BVL,UPCOM,CTCP BV Land,BV Land,BV Land JSC,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BVL/ho-so-doanh-nghiep.htm,OK,YES
BWS,UPCOM,CTCP Cấp nước Bà Rịa - Vũng Tàu,Cấp nước Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau Water Supply Joint Stock Company,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BWS/ho-so-doanh-nghiep.htm,OK,YES
C47,HOSE,CTCP Xây dựng 47,Xây dựng 47,Construction Joint Stock Company 47,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/C47/ho-so-doanh-nghiep.htm,OK,NO
CBI,UPCOM,CTCP Gang thép Cao Bằng,Gang thép Cao Bằng,Cao Bang Cast Iron And Steel Joint Stock Company,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Nguyên vật liệu,Khai khoáng và luyện kim,,Kim loại & Khoáng sản,NORMAL,32,khai khoang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CBI/ho-so-doanh-nghiep.htm,OK,NO
CC1,UPCOM,Tổng Công ty Xây dựng Số 1 - CTCP,Xây dựng Số 1 - CTCP,Construction Corporation No 1 Joint Stock Company,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CC1/ho-so-doanh-nghiep.htm,OK,NO
CCC,HOSE,CTCP Xây dựng CDC,Xây dựng CDC,CDC Construction Joint Stock Company,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CCC/ho-so-doanh-nghiep.htm,OK,NO
CCL,HOSE,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Cuu Long Petro Urban Development & Investment Corporation,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CCL/ho-so-doanh-nghiep.htm,OK,YES
CCR,HNX,CTCP Cảng Cam Ranh,Cảng Cam Ranh,Cam Ranh Port Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CCR/ho-so-doanh-nghiep.htm,OK,YES
CCT,UPCOM,CTCP Cảng Cần Thơ,Cảng Cần Thơ,CanTho Port Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CCT/ho-so-doanh-nghiep.htm,OK,YES
CDN,HNX,CTCP Cảng Đà Nẵng,Cảng Đà Nẵng,Danang Port Joint Stock Company,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CDN/ho-so-doanh-nghiep.htm,OK,YES
CDO,UPCOM,CTCP Tư vấn Thiết kế và Phát triển Đô thị,Tư vấn Thiết kế và Phát triển Đô thị,Consultancy Design & Urban Development JSC,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CDO/ho-so-doanh-nghiep.htm,OK,NO
CEN,UPCOM,CTCP CENCON Việt Nam,CENCON Việt Nam,Cencon Vietnam JSC,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Hàng không,NORMAL,17,hang khong,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CEN/ho-so-doanh-nghiep.htm,OK,NO
CHP,HOSE,CTCP Thủy điện Miền Trung,Thủy điện Miền Trung,Central Hydropower Joint Stock Company,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CHP/ho-so-doanh-nghiep.htm,OK,YES
CHS,UPCOM,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Chiếu sáng Công cộng Thành phố Hồ Chí Minh,HOCHIMINH CITY PUBLIC LIGHTING JSC,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CHS/ho-so-doanh-nghiep.htm,OK,NO
